id;start_date;end_date;language
1;2023-06-16T08:40:18;2023-06-16T06:30:33;ENGLISH
2;2023-06-15T18:07:53;2023-06-16T03:33:22;FRENCH
3;2023-06-16T04:04:05;2023-06-15T16:09:13;SPANISH
4;2023-06-16T08:34:54;2023-06-15T14:01:13;FRENCH
5;2023-06-16T10:51:17;2023-06-15T19:10:15;ENGLISH
6;2023-06-15T20:22:00;2023-06-16T10:22:20;SPANISH
7;2023-06-16T04:25:48;2023-06-15T14:59:57;FRENCH
8;2023-06-15T18:51:41;2023-06-15T15:27:30;FRENCH
9;2023-06-15T19:43:19;2023-06-16T07:14:45;FRENCH
10;2023-06-15T15:40:17;2023-06-16T08:37:46;FRENCH
